"nid";"vid";"type";"language";"title";"uid";"status";"created";"changed";"comment";"promote";"moderate";"sticky";"tnid";"translate"
"1";"1";"page";;"Home";"1";"1";"1267196786";"1295985571";"0";"0";"0";"0";"0";"0"
"2";"2";"page";;"About Us";"3";"1";"1267209195";"1268320463";"0";"0";"0";"0";"0";"0"
"3";"3";"page";;"Services";"3";"1";"1267209281";"1268320518";"0";"0";"0";"0";"0";"0"
"4";"4";"page";;"References";"3";"1";"1267209347";"1268320551";"0";"0";"0";"0";"0";"0"
"5";"5";"page";;"Activity";"3";"1";"1267209404";"1268320575";"0";"0";"0";"0";"0";"0"
"6";"6";"page";;"past projects";"3";"1";"1267212144";"1267212273";"0";"0";"0";"0";"0";"0"
"7";"7";"page";;"current projects";"3";"1";"1267212219";"1267212298";"0";"0";"0";"0";"0";"0"
"8";"8";"blog";;"Blog 1";"3";"1";"1267212959";"1267212959";"2";"1";"0";"0";"0";"0"
"9";"9";"blog";;"What has to happen before people learn from generation to genearations";"3";"1";"1267213076";"1267213293";"2";"1";"0";"0";"0";"0"
"10";"10";"blog";;"Esse Lucidus Nisl Lucidus Olim Velit Suscipit Minim Nutus Zelus Eu Odio";"0";"1";"1266379033";"1267213613";"2";"1";"0";"0";"0";"0"
"11";"11";"blog";;"Amet Incassum Scisco Natu";"0";"1";"1264870485";"1267213613";"2";"1";"0";"0";"0";"0"
"12";"12";"blog";;"Similis Minim Duis Enim Venio Iaceo Volutpat Torqueo Camur Dignissim Tum Damnum Ulciscor Neque Singularis";"0";"1";"1265398242";"1267213613";"2";"1";"0";"0";"0";"0"
"13";"13";"blog";;"Velit Nutus Os Amet In Facilisi Usitas Defui Qui Ut Nimis Utinam Tation Augue Decet";"0";"1";"1266622338";"1267213613";"2";"0";"0";"0";"0";"0"
"14";"14";"blog";;"Distineo Iriure Uxor Quis Antehabeo Iustum Qui Suscipere Praemitto Tum Vereor Populus Persto Vindico Verto";"1";"1";"1265135999";"1267213613";"2";"1";"0";"0";"0";"0"
"15";"15";"blog";;"Laoreet Nutus Turpis Suscipere Utinam";"0";"1";"1266787326";"1267213613";"2";"1";"0";"0";"0";"0"
"16";"16";"blog";;"Valetudo Quidem Esca Lenis Jugis Ibidem Utinam Facilisis Uxor Hendrerit Haero";"0";"1";"1266111656";"1267213613";"2";"1";"0";"0";"0";"0"
